site_no,paired_distance,height
1,51.0058754,3.53
2,177.2778846,17.16
3,77.51189721,6.51
4,76.48494476,6.36
5,254.286223,5.5
6,110.8481402,21.92
7,655.8537811,3.45
8,107.2259702,17.79
9,151.7226565,8.6
10,322.925618,23
11,19.37265314,14
12,82.23304606,3.4
13,96.12567919,3
15,39.02975896,29.41
16,186.3668451,19
17,316.4250921,9
18,188.140394,16
19,35.34671245,7.9
20,72.28140488,23.32
21,226.4532044,13
22,154.7879026,5
23,137.0498363,17.54
24,221.1196169,12.16
25,32.18271167,12.67
26,81.73313751,8.38
27,201.6041407,11.17
28,120.3730855,11.6
29,116.3330028,20.54
30,136.4890852,7.92
31,139.6036285,21.87
32,187.1073176,6.65
33,198.5243781,10.8
34,195.0935163,5.8
35,101.7777313,14.18
36,223.3159699,13.7
37,168.617029,10
38,167.3921017,21.67
39,231.7912219,21.9
40,163.0591094,12.71
41,95.13352988,21.3
42,134.4893665,20.93
43,255.3156297,10.6
44,96.04887666,11.1
45,51.54991133,2.91
46,280.9436971,12
47,292.092399,5.4
48,41.31815247,19
49,79.88114347,4.45
50,86.39512493,12.5
51,163.0989858,9.44
56,154.0436182,11.2
57,113.7066929,10.6
