site_no,paired_distance,height,jaccard,sp_shared,sp_shared.pair,jaccard.pair,sp_shared.rand,jaccard.rand,Mesaphorura,Chironomidae,Anystis baccarum,Metriocnemus,Buchholzia,Enchytraeidae,Enchytraeus,Aporrectodea longa,Fridericia,Lumbricidae,Willowsia,Eupodidae,Sciaridae,Ceratopogonidae,Octolasion cyaneum,Entomobryidae,Octolasion,Tullbergiidae,Quedius,Buchholzia appendiculata,Katiannidae,Bradysia trivittata,Aporrectodea,Dolichopodidae,Corynoptera perpusilla,Thienemanniella,Lepidocyrtus,Dendrobaena,Fridericia eiseni,Platypalpus longicornis,Tachyporus nitidulus,Polyxenus lagurus,Onychiuridae,Fridericia ratzeli,Thalassaphorura,Corynoptera cursor,Simuliidae,Sminthurinus,Sialis lutaria,Corynoptera,Isotoma viridis,Henlea,Limoniidae,Sialis,Entomobrya,Bryophaenocladius terrestris,Isotoma,Dendrobaena octaedra,Xantholinus linearis,Megalothorax,Willowsia nigromaculata,Baetis rhodani,Enchytraeus buchholzi,Bryophaenocladius ictericus,Entomobrya marginata,Aporrectodea caliginosa,Mesaphorura macrochaeta,Medon fusculus,Bradysia,Thienemanniella obscura,Quedius boopoides,Choneiulus
1,51.0058754,3.53,0.866666667,18,17.06,0.874299968,4.99,0.96609255,164286,621,0,0,0,18140,11894,0,170981,667313,0,0,13257,0,0,0,0,2278,0,43247,0,0,0,0,2039,0,0,204,0,921,0,0,0,0,0,0,0,2048,0,0,0,34,0,0,0,1297485,0,927,0,0,0,516,0,0,0,0,173556,0,0,0,0,0
2,177.2778846,17.16,0.904761905,12,12.15,0.902251042,4.4,0.966924953,26426,0,0,0,171281,432082,0,0,602140,0,0,0,297,0,0,0,0,0,0,419455,0,0,0,115,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,92736,0,450,0,0,0,0,0,0,0,0,29098,0,0,0,0,0
3,77.51189721,6.51,0.920863309,11,11.65,0.915624824,5.02,0.965170367,252993,22101,0,0,0,26789,0,0,4109,0,0,0,20549,0,0,0,0,0,0,4052,0,5846,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1231,0,237,0,0,0,0,0,0,266563,0,0,0,0,0
4,76.48494476,6.36,0.893442623,13,12.34,0.90160383,4.1,0.968466734,288244,236,0,0,43497,52070,0,0,214894,0,0,0,327,191,0,0,0,39618,0,1001057,0,0,0,0,0,0,0,0,8544,0,0,0,0,20549,0,0,0,0,0,0,0,0,0,0,0,0,0,35241,0,0,0,0,0,0,0,0,322510,0,0,0,0,0
5,254.286223,5.5,0.90647482,13,12.33,0.900192069,5.04,0.965509084,317030,49129,0,0,5315,68102,6538,0,228337,0,0,0,3671,0,0,0,0,0,0,177072,0,0,0,0,0,0,0,0,0,0,0,0,0,122491,0,0,0,0,0,0,0,6699,0,0,0,1020456,0,10708,0,0,0,0,0,0,0,0,343947,0,0,0,0,0
6,110.8481402,21.92,0.872340426,18,14.06,0.887643599,5.34,0.965003065,4340,1844,0,0,31404,519491,362,0,167553,0,1904,0,394,0,0,0,0,300,0,1228903,0,3376,0,0,0,0,0,0,0,0,0,24458,0,0,0,0,0,0,0,0,0,233,0,0,0,45679,0,408,0,0,0,557,0,0,0,0,4947,66,0,0,0,0
7,655.8537811,3.45,0.908450704,13,14.18,0.880372669,5.04,0.966207824,69200,946,0,0,1437,203344,1654,0,167557,0,0,0,1267,0,0,0,0,0,0,465534,0,0,0,0,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12259,0,7903,0,0,0,365,0,0,0,0,74391,0,0,0,0,0
8,107.2259702,17.79,0.892857143,12,12.58,0.887264824,3.39,0.971655248,5846,166661,0,0,536,13303,13,0,15093,0,0,0,35079,0,0,0,0,0,0,13272,0,0,0,0,4338,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,604,0,0,0,0,0,0,0,0,6488,0,0,0,0,0
9,151.7226565,8.6,0.903225806,9,12.01,0.886451495,2.02,0.979598837,65803,192035,0,0,0,5691,0,0,1425,0,0,0,0,0,0,0,0,4417,0,2557,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984,0,0,0,0,0,0,0,0,72239,0,0,0,0,0
10,322.925618,23,0.881355932,14,12.01,0.901429748,3.54,0.972299227,249529,990,0,0,0,154258,0,0,91521,0,0,0,45973,0,0,0,0,0,0,1482,0,0,0,0,5412,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,721922,0,864,8732,0,0,0,0,0,0,0,276055,0,0,219,0,0
