taxa,kingdom,phylum,class,order,family,genus,species,mobility
Aporrectodea tuberculata,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea tuberculata,edaphic
Lumbricus,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,NA,edaphic
Aporrectodea longa,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea longa,edaphic
Lumbricidae,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,NA,NA,edaphic
Octolasion cyaneum,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Octolasion cyaneum,edaphic
Octolasion,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,NA,edaphic
Aporrectodea limicola,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea limicola,edaphic
Aporrectodea,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,NA,edaphic
Eiseniella tetraedra,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eiseniella,Eiseniella tetraedra,edaphic
Dendrobaena attemsi,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,Dendrobaena attemsi,edaphic
Dendrobaena,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,NA,edaphic
Octolasion tyrtaeum,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Octolasion tyrtaeum,edaphic
Allolobophora chlorotica,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora chlorotica,edaphic
Lumbricus rubellus,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus rubellus,edaphic
Bimastos rubidus,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Bimastos,Bimastos rubidus,edaphic
Aporrectodea nocturna,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea nocturna,edaphic
Aporrectodea rosea,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea rosea,edaphic
Dendrobaena octaedra,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,Dendrobaena octaedra,edaphic
Aporrectodea icterica,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea icterica,edaphic
Bimastos,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Bimastos,NA,edaphic
Allolobophora,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,NA,edaphic
Aporrectodea caliginosa,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea caliginosa,edaphic
Eisenia fetida,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eisenia,Eisenia fetida,edaphic
Murchieona minuscula,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Murchieona,Murchieona minuscula,edaphic
Microscolex phosphoreus,Eukaryota,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Microscolex,Microscolex phosphoreus,edaphic
Buchholzia,Eukaryota,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Buchholzia,NA,edaphic
